node1; node2; key; weight; label; text1; text2
ae917e35effce2eeb6e3c9d03f8f3f34;c77593f4e3346762065b80190616298a;ocr;0;;;;
ae917e35effce2eeb6e3c9d03f8f3f34;ec49440ab870af62c72ce209274cbe8a;full_image_query;0;;;;
ae917e35effce2eeb6e3c9d03f8f3f34;ec49440ab870af62c72ce209274cbe8a;related_text;0.5;;;;
ae917e35effce2eeb6e3c9d03f8f3f34;ec49440ab870af62c72ce209274cbe8a;subimage;0;;;;
ae917e35effce2eeb6e3c9d03f8f3f34;ec49440ab870af62c72ce209274cbe8a;ocr;0;;;;
ae917e35effce2eeb6e3c9d03f8f3f34;a5df085307a8ad01657ba64116a304e7;full_image_query;0;;;;
ae917e35effce2eeb6e3c9d03f8f3f34;a5df085307a8ad01657ba64116a304e7;related_text;0.5;;;;
ae917e35effce2eeb6e3c9d03f8f3f34;a5df085307a8ad01657ba64116a304e7;subimage;0;;;;
ae917e35effce2eeb6e3c9d03f8f3f34;a5df085307a8ad01657ba64116a304e7;ocr;0;;;;
ae917e35effce2eeb6e3c9d03f8f3f34;06821ffb8d4045d91456ca466ff39558;full_image_query;0;;;;
ae917e35effce2eeb6e3c9d03f8f3f34;06821ffb8d4045d91456ca466ff39558;related_text;0.375;;;;
ae917e35effce2eeb6e3c9d03f8f3f34;06821ffb8d4045d91456ca466ff39558;subimage;0;;;;
ae917e35effce2eeb6e3c9d03f8f3f34;06821ffb8d4045d91456ca466ff39558;ocr;0;;;;
ae917e35effce2eeb6e3c9d03f8f3f34;4847f70c6aa8c083f5e7e58cb8d0d99b;full_image_query;0;;;;
ae917e35effce2eeb6e3c9d03f8f3f34;4847f70c6aa8c083f5e7e58cb8d0d99b;related_text;0.41666666666666663;;;;
ae917e35effce2eeb6e3c9d03f8f3f34;4847f70c6aa8c083f5e7e58cb8d0d99b;subimage;0;;;;
ae917e35effce2eeb6e3c9d03f8f3f34;4847f70c6aa8c083f5e7e58cb8d0d99b;ocr;0;;;;
ae917e35effce2eeb6e3c9d03f8f3f34;2a1c34e5860da5cbc21565d4eb495ee9;full_image_query;0;;;;
ae917e35effce2eeb6e3c9d03f8f3f34;2a1c34e5860da5cbc21565d4eb495ee9;related_text;0.3333333333333333;;;;
ae917e35effce2eeb6e3c9d03f8f3f34;2a1c34e5860da5cbc21565d4eb495ee9;subimage;0;;;;
ae917e35effce2eeb6e3c9d03f8f3f34;2a1c34e5860da5cbc21565d4eb495ee9;ocr;0;;;;
ae917e35effce2eeb6e3c9d03f8f3f34;b1d2448873e6e04f2d2f8f64eaa0234c;full_image_query;0;;;;
ae917e35effce2eeb6e3c9d03f8f3f34;b1d2448873e6e04f2d2f8f64eaa0234c;related_text;0.35;;;;
ae917e35effce2eeb6e3c9d03f8f3f34;b1d2448873e6e04f2d2f8f64eaa0234c;subimage;0;;;;
ae917e35effce2eeb6e3c9d03f8f3f34;b1d2448873e6e04f2d2f8f64eaa0234c;ocr;0;;;;
ae917e35effce2eeb6e3c9d03f8f3f34;9e156a88566c5721d2b58edd6fead648;full_image_query;0;;;;
ae917e35effce2eeb6e3c9d03f8f3f34;9e156a88566c5721d2b58edd6fead648;related_text;0.35;;;;
ae917e35effce2eeb6e3c9d03f8f3f34;9e156a88566c5721d2b58edd6fead648;subimage;0;;;;
ae917e35effce2eeb6e3c9d03f8f3f34;9e156a88566c5721d2b58edd6fead648;ocr;0;;;;
ae917e35effce2eeb6e3c9d03f8f3f34;ba33c0728c3655667e9a1b667051d496;full_image_query;0;;;;
ae917e35effce2eeb6e3c9d03f8f3f34;ba33c0728c3655667e9a1b667051d496;related_text;0.3125;;;;
